Customer_ID,Region,Age_Band,Account_Type,Account_Tenure_Years
100090,London,25-34,Current,2.9
100091,West Midlands,35-44,Current,4.7
100092,South East,18-24,Premier,17.5
100093,London,25-34,Current,13.7
100094,Yorkshire and Humber,65+,Current,10.4
100095,North West,18-24,Premier,6.1
100096,London,55-64,Current,18.4
100097,Yorkshire and Humber,25-34,Current,17.8
100098,East Midlands,45-54,Current,8.0
100099,West Midlands,35-44,Current,15.1
100100,North East,65+,Premier,18.3
100101,East of England,25-34,Savings,6.3
100102,South East,25-34,Current,6.6
100103,North West,55-64,Current,11.0
100104,North East,55-64,Current,8.2
100105,South East,55-64,Current,15.3
100106,South East,18-24,Current,10.8
100107,London,25-34,Current,4.3
100108,North West,55-64,Savings,7.2
100109,West Midlands,45-54,Student,13.5
100110,East of England,45-54,Premier,1.2
100111,London,35-44,Student,6.9
100112,West Midlands,25-34,Current,0.4
100113,North West,65+,Savings,16.4
100114,London,55-64,Premier,2.4
100115,West Midlands,25-34,Current,1.6
100116,East of England,65+,Current,15.8
100117,South East,45-54,Current,1.9
100118,South East,35-44,Premier,13.7
100119,London,35-44,Premier,7.7
100120,London,55-64,Savings,16.5
100121,London,35-44,Current,3.7
100122,London,45-54,Premier,1.8
100123,East Midlands,55-64,Current,4.6
100124,Yorkshire and Humber,25-34,Current,18.6
100125,East Midlands,65+,Current,16.6
100126,London,35-44,Savings,5.8
100127,North West,35-44,Student,4.2
100128,West Midlands,55-64,Current,3.2
100129,West Midlands,45-54,Current,4.5
100130,London,35-44,Current,4.2
100131,West Midlands,45-54,Current,17.8
100132,East of England,65+,Student,0.5
100133,London,55-64,Current,17.6
100134,Yorkshire and Humber,55-64,Current,0.9
100135,London,25-34,Current,16.6
100136,East Midlands,35-44,Savings,8.6
100137,North East,45-54,Student,1.6
100138,London,18-24,Current,16.0
100139,South West,55-64,Current,5.2
100140,East Midlands,35-44,Premier,17.6
100141,London,35-44,Current,15.1
100142,London,25-34,Current,19.6
100143,North East,35-44,Current,16.7
100144,London,35-44,Premier,4.9
100145,London,45-54,Savings,8.2
100146,North West,45-54,Current,14.0
100147,Yorkshire and Humber,25-34,Current,6.4
100148,London,25-34,Current,11.0
100149,London,55-64,Current,4.8
100150,East Midlands,25-34,Current,13.3
100151,South West,45-54,Current,6.9
100152,East of England,45-54,Current,1.2
100153,West Midlands,45-54,Current,19.4
100154,London,65+,Current,16.9
100155,West Midlands,45-54,Current,6.1
100156,South East,65+,Savings,2.7
100157,North West,65+,Current,14.7
100158,South East,25-34,Student,4.5
100159,South East,25-34,Premier,12.1
100160,South East,35-44,Premier,15.6
100161,West Midlands,35-44,Current,5.5
100162,East of England,45-54,Current,5.8
100163,North West,25-34,Savings,1.3
100164,East Midlands,25-34,Current,6.5
100165,London,35-44,Current,12.0
100166,Yorkshire and Humber,45-54,Current,3.2
100167,South West,45-54,Current,19.1
100168,South West,65+,Savings,14.5
100169,North West,25-34,Current,4.2
100170,North East,35-44,Premier,10.7
100171,North West,65+,Savings,7.9
100172,London,55-64,Current,7.7
100173,North West,45-54,Current,11.2
100174,North East,45-54,Current,2.3
100175,West Midlands,25-34,Premier,4.4
100176,East Midlands,65+,Savings,3.1
100177,London,45-54,Savings,3.6
100178,Wales,45-54,Savings,13.1
100179,East of England,45-54,Current,19.9
100180,South East,35-44,Premier,13.1
100181,East of England,25-34,Premier,19.7
100182,East of England,55-64,Savings,11.6
100183,London,45-54,Current,5.7
100184,North West,18-24,Current,17.5
100185,South East,35-44,Current,1.4
100186,South East,65+,Current,2.1
100187,Yorkshire and Humber,35-44,Current,19.0
100188,West Midlands,35-44,Savings,13.0
100189,South East,45-54,Premier,18.6
100190,North West,55-64,Current,2.7
100191,North East,45-54,Current,15.4
100192,North West,55-64,Current,4.8
100193,West Midlands,25-34,Premier,6.9
100194,South West,65+,Savings,18.0
100195,West Midlands,65+,Current,8.3
100196,West Midlands,45-54,Current,13.4
100197,London,45-54,Current,17.8
100198,East of England,25-34,Current,17.4
100199,West Midlands,35-44,Current,0.3
100200,North West,25-34,Current,3.2
100201,South East,18-24,Current,18.4
100202,Wales,65+,Current,11.3
100203,London,25-34,Current,9.7
100204,West Midlands,45-54,Savings,1.4
100205,East Midlands,35-44,Current,0.6
100206,North West,35-44,Current,19.1
100207,West Midlands,35-44,Premier,9.5
100208,South East,35-44,Current,15.7
100209,West Midlands,45-54,Savings,4.5
100210,London,65+,Current,4.8
100211,South East,35-44,Savings,11.2
100212,London,65+,Current,17.5
100213,West Midlands,45-54,Current,5.8
100214,South West,45-54,Current,6.6
100215,South East,25-34,Savings,11.1
100216,South East,18-24,Savings,0.9
100217,West Midlands,55-64,Savings,7.6
100218,West Midlands,45-54,Current,11.2
100219,East of England,35-44,Savings,0.2
100220,Yorkshire and Humber,55-64,Current,12.8
100221,North West,35-44,Current,1.1
100222,London,55-64,Current,14.4
100223,South East,35-44,Current,16.1
100224,North East,65+,Savings,16.8
100225,North West,25-34,Current,13.5
100226,East of England,25-34,Current,11.3
100227,East Midlands,55-64,Premier,6.2
100228,London,25-34,Student,8.5
100229,London,65+,Current,1.8
100230,West Midlands,45-54,Premier,14.2
100231,West Midlands,25-34,Current,0.6
100232,Yorkshire and Humber,25-34,Student,8.3
100233,North East,65+,Current,10.2
100234,London,45-54,Current,13.0
100235,North East,65+,Premier,6.9
100236,South West,25-34,Current,8.9
100237,London,65+,Savings,11.8
100238,South West,45-54,Current,18.5
100239,East Midlands,45-54,Current,13.5
100240,West Midlands,35-44,Premier,5.2
100241,South West,18-24,Current,17.0
100242,South West,65+,Student,1.2
100243,North West,65+,Student,5.5
100244,London,35-44,Current,2.3
100245,London,65+,Current,9.0
100246,East of England,25-34,Current,12.8
100247,London,25-34,Current,10.7
100248,Yorkshire and Humber,25-34,Current,16.2
100249,Yorkshire and Humber,35-44,Current,11.4
100250,Yorkshire and Humber,18-24,Savings,4.7
100251,South East,35-44,Current,10.8
100252,East of England,25-34,Savings,14.7
100253,London,55-64,Current,10.1
100254,North West,55-64,Current,8.9
100255,North West,45-54,Current,10.6
100256,South East,25-34,Current,11.0
100257,South West,55-64,Current,6.3
100258,West Midlands,25-34,Current,17.1
100259,East Midlands,55-64,Savings,4.2
100260,London,45-54,Savings,0.8
100261,West Midlands,35-44,Current,14.9
100262,South West,25-34,Student,16.9
100263,North West,55-64,Premier,12.9
100264,West Midlands,65+,Current,9.4
100265,East of England,45-54,Premier,19.5
100266,West Midlands,65+,Current,7.5
100267,North West,65+,Savings,8.2
100268,West Midlands,25-34,Current,11.9
100269,West Midlands,55-64,Savings,8.7
100270,East Midlands,35-44,Student,11.2
100271,East Midlands,35-44,Premier,19.3
100272,West Midlands,25-34,Premier,4.8
100273,East Midlands,65+,Current,3.1
100274,London,55-64,Savings,8.5
100275,South East,25-34,Current,10.1
100276,Yorkshire and Humber,35-44,Current,14.3
100277,North West,35-44,Current,19.1
100278,London,55-64,Premier,13.8
100279,East of England,65+,Savings,19.7
100280,East of England,35-44,Current,5.0
100281,East Midlands,35-44,Premier,4.3
100282,West Midlands,45-54,Savings,6.2
100283,North West,35-44,Current,15.8
100284,North West,45-54,Current,3.8
100285,London,25-34,Savings,4.0
100286,Yorkshire and Humber,25-34,Savings,8.3
100287,East Midlands,35-44,Current,6.4
100288,Yorkshire and Humber,65+,Current,13.0
100289,London,35-44,Current,17.8
100290,West Midlands,25-34,Current,2.9
100291,South West,55-64,Current,11.0
100292,East Midlands,65+,Current,1.9
100293,East of England,35-44,Current,4.5
100294,West Midlands,18-24,Savings,6.3
100295,South West,45-54,Current,11.6
100296,East of England,35-44,Current,11.1
100297,Wales,45-54,Current,12.9
100298,South West,35-44,Premier,16.4
100299,South East,18-24,Current,3.8
100300,London,35-44,Current,14.9
100301,South East,55-64,Current,13.4
100302,West Midlands,35-44,Savings,1.7
100303,London,25-34,Current,7.0
100304,London,35-44,Current,0.7
100305,East of England,55-64,Student,1.9
100306,London,25-34,Savings,5.7
100307,Yorkshire and Humber,55-64,Current,4.9
100308,London,45-54,Current,18.0
100309,North West,35-44,Premier,17.9
100310,West Midlands,65+,Premier,11.6
100311,London,65+,Savings,14.7
100312,Yorkshire and Humber,35-44,Savings,20.0
100313,North West,18-24,Student,8.3
100314,Yorkshire and Humber,35-44,Premier,10.5
100315,Yorkshire and Humber,25-34,Current,13.1
100316,North West,45-54,Premier,18.4
100317,Yorkshire and Humber,65+,Savings,16.0
100318,South East,65+,Current,1.4
100319,North West,35-44,Current,14.3
100320,North East,35-44,Current,5.1
100321,East of England,18-24,Savings,5.2
100322,London,45-54,Savings,11.0
100323,North West,18-24,Current,14.0
100324,London,65+,Current,3.3
100325,South West,65+,Current,6.4
100326,South East,25-34,Current,14.4
100327,South West,55-64,Current,3.1
100328,London,45-54,Savings,17.0
100329,London,55-64,Current,9.2
100330,North West,35-44,Current,11.8
100331,South East,25-34,Current,1.7
100332,West Midlands,45-54,Current,19.1
100333,South East,25-34,Premier,18.2
100334,East of England,45-54,Savings,3.9
100335,West Midlands,25-34,Savings,13.3
100336,London,45-54,Current,15.9
100337,West Midlands,55-64,Current,2.5
100338,South East,25-34,Student,11.6
100339,East Midlands,35-44,Current,17.0
100340,North East,55-64,Current,10.2
100341,West Midlands,25-34,Current,18.5
100342,North East,45-54,Savings,1.1
100343,South West,45-54,Current,18.4
100344,London,35-44,Current,19.5
100345,South West,55-64,Savings,3.2
100346,South West,45-54,Current,8.7
100347,North East,45-54,Current,12.5
100348,North West,25-34,Savings,17.9
100349,London,18-24,Premier,3.3
100350,West Midlands,18-24,Current,6.7
100351,London,65+,Current,16.0
100352,West Midlands,65+,Current,8.3
100353,London,55-64,Current,12.1
100354,London,25-34,Student,11.2
100355,London,45-54,Savings,19.5
100356,London,55-64,Current,2.9
100357,South East,45-54,Savings,19.0
100358,South West,25-34,Current,11.3
100359,London,65+,Current,18.1
100360,London,25-34,Premier,2.4
100361,North East,25-34,Current,12.9
100362,West Midlands,65+,Current,16.8
100363,West Midlands,35-44,Student,15.8
100364,East Midlands,35-44,Current,0.3
100365,South East,45-54,Current,9.1
100366,Yorkshire and Humber,65+,Current,2.4
100367,South East,25-34,Current,3.1
100368,South East,55-64,Current,14.2
100369,Yorkshire and Humber,35-44,Current,19.1
100370,East of England,25-34,Current,12.7
100371,South East,35-44,Current,2.1
100372,North West,45-54,Savings,5.0
100373,Yorkshire and Humber,25-34,Student,7.6
100374,North West,35-44,Savings,2.6
100375,West Midlands,45-54,Savings,17.0
100376,West Midlands,45-54,Savings,4.0
100377,North East,55-64,Current,2.7
100378,London,55-64,Current,14.5
100379,Yorkshire and Humber,35-44,Current,2.6
100380,South East,35-44,Current,8.3
100381,London,45-54,Premier,10.4
100382,North East,45-54,Current,1.7
100383,South West,25-34,Student,11.2
100384,London,35-44,Current,9.7
100385,Yorkshire and Humber,25-34,Current,13.4
100386,Wales,35-44,Current,4.5
100387,South East,65+,Current,7.2
100388,North East,45-54,Current,13.2
100389,West Midlands,35-44,Savings,0.8
100390,East of England,45-54,Current,2.4
100391,London,45-54,Student,5.7
100392,West Midlands,35-44,Premier,2.2
100393,London,35-44,Current,0.9
100394,South East,55-64,Premier,19.7
100395,East Midlands,18-24,Current,9.2
100396,London,45-54,Current,10.7
100397,South West,45-54,Current,5.2
100398,North West,55-64,Current,0.3
100399,London,65+,Current,15.0
100400,London,55-64,Current,14.5
100401,North West,45-54,Student,19.5
100402,East of England,25-34,Current,0.5
100403,South West,45-54,Savings,2.8
100404,West Midlands,55-64,Current,14.3
100405,Wales,65+,Current,6.7
100406,East of England,55-64,Current,1.4
100407,North West,25-34,Current,6.1
100408,South West,55-64,Current,1.8
100409,West Midlands,65+,Savings,16.8
100410,Wales,45-54,Current,17.6
100411,South East,45-54,Current,12.8
100412,South East,45-54,Savings,7.8
100413,West Midlands,45-54,Savings,15.4
100414,East of England,35-44,Premier,12.7
100415,East Midlands,25-34,Current,15.9
100416,North West,55-64,Savings,10.3
100417,West Midlands,65+,Current,19.2
100418,South East,55-64,Savings,5.9
100419,West Midlands,35-44,Current,12.1
100420,East of England,25-34,Current,16.2
100421,South East,35-44,Premier,17.9
100422,East Midlands,55-64,Savings,18.9
100423,East Midlands,45-54,Current,8.0
100424,East Midlands,65+,Current,14.0
100425,London,35-44,Savings,5.9
100426,South West,45-54,Current,13.0
100427,North West,55-64,Current,3.8
100428,South West,25-34,Current,8.5
100429,East Midlands,65+,Current,18.4
100430,South West,45-54,Current,16.2
100431,East of England,18-24,Savings,10.0
100432,South East,18-24,Current,3.0
100433,South East,65+,Savings,8.0
100434,South West,45-54,Premier,2.9
100435,East Midlands,55-64,Current,1.5
100436,West Midlands,55-64,Savings,18.1
100437,West Midlands,35-44,Current,9.9
100438,London,55-64,Premier,1.9
100439,South East,65+,Current,14.4
100440,London,25-34,Current,1.6
100441,East of England,55-64,Current,8.0
100442,West Midlands,35-44,Premier,4.7
100443,South East,35-44,Current,3.4
100444,West Midlands,35-44,Savings,10.7
100445,North West,65+,Current,14.4
100446,South East,18-24,Savings,9.8
100447,Wales,35-44,Current,16.4
100448,London,45-54,Current,18.4
100449,East Midlands,25-34,Current,16.2
100450,London,55-64,Current,19.1
100451,East Midlands,65+,Savings,18.6
100452,East of England,25-34,Savings,16.7
100453,South East,25-34,Current,5.9
100454,West Midlands,65+,Current,3.6
100455,West Midlands,25-34,Current,14.6
100456,West Midlands,25-34,Savings,16.9
100457,Wales,65+,Savings,16.5
100458,London,65+,Student,12.9
100459,South West,45-54,Student,16.6
100460,London,45-54,Current,14.2
100461,London,65+,Current,13.3
100462,West Midlands,45-54,Student,1.0
100463,North East,45-54,Current,9.3
100464,North West,55-64,Current,0.8
100465,London,45-54,Current,1.9
100466,South East,45-54,Savings,10.9
100467,London,35-44,Savings,1.0
100468,North East,45-54,Premier,18.3
100469,West Midlands,45-54,Current,9.1
100470,London,35-44,Current,14.0
100471,Yorkshire and Humber,35-44,Current,3.0
100472,London,55-64,Savings,17.0
100473,West Midlands,35-44,Current,9.6
100474,West Midlands,18-24,Premier,11.2
100475,North West,35-44,Current,13.0
100476,North West,25-34,Savings,10.8
100477,Yorkshire and Humber,55-64,Savings,11.3
100478,London,35-44,Current,14.9
100479,London,35-44,Savings,16.1
100480,Yorkshire and Humber,55-64,Current,6.2
100481,Yorkshire and Humber,18-24,Savings,18.4
100482,North West,25-34,Savings,7.1
100483,London,55-64,Current,5.5
100484,North West,45-54,Current,6.3
100485,East Midlands,55-64,Premier,7.2
100486,Yorkshire and Humber,55-64,Premier,6.4
100487,London,65+,Current,16.9
100488,North West,18-24,Premier,11.3
100489,London,55-64,Current,19.4
100490,London,55-64,Current,1.8
100491,South East,25-34,Current,12.3
100492,London,65+,Current,2.0
100493,South East,35-44,Current,9.2
100494,North West,65+,Savings,7.7
100495,South West,45-54,Current,13.6
100496,London,45-54,Current,14.9
100497,London,25-34,Savings,4.8
100498,London,65+,Savings,4.0
100499,Yorkshire and Humber,45-54,Premier,8.4
100500,London,18-24,Current,4.9
100501,South East,18-24,Student,13.6
100502,East of England,55-64,Current,10.4
100503,East of England,25-34,Current,16.6
100504,London,45-54,Savings,19.6
100505,London,45-54,Current,7.6
100506,South West,35-44,Savings,18.2
100507,North West,45-54,Current,15.6
100508,South West,25-34,Current,3.1
100509,London,65+,Current,16.7
100510,West Midlands,65+,Current,9.7
100511,East Midlands,35-44,Current,14.2
100512,South West,45-54,Current,14.1
100513,East Midlands,45-54,Current,17.7
100514,North West,65+,Savings,15.2
100515,Yorkshire and Humber,35-44,Current,16.5
100516,West Midlands,45-54,Current,6.5
100517,North West,65+,Current,19.5
100518,South East,25-34,Current,13.3
100519,East Midlands,45-54,Current,15.5
100520,South West,25-34,Savings,17.2
100521,East of England,45-54,Student,2.6
100522,Yorkshire and Humber,35-44,Current,6.8
100523,West Midlands,65+,Savings,16.7
100524,London,35-44,Current,18.4
100525,West Midlands,25-34,Current,15.1
100526,Yorkshire and Humber,55-64,Current,9.7
100527,North East,55-64,Current,5.1
100528,Wales,55-64,Current,10.5
100529,South East,55-64,Current,8.0
100530,North West,25-34,Current,17.7
100531,South East,45-54,Current,11.4
100532,South East,18-24,Current,7.9
100533,Yorkshire and Humber,25-34,Savings,10.0
100534,London,65+,Student,18.7
100535,East Midlands,55-64,Current,12.3
100536,West Midlands,25-34,Current,4.7
100537,London,25-34,Current,10.1
100538,West Midlands,65+,Student,9.4
100539,West Midlands,25-34,Current,6.3
100540,South West,25-34,Current,14.8
100541,Wales,25-34,Premier,5.4
100542,London,18-24,Current,9.9
100543,South West,35-44,Current,8.9
100544,Wales,65+,Student,9.4
100545,West Midlands,35-44,Premier,11.4
100546,London,45-54,Current,13.7
100547,Yorkshire and Humber,55-64,Current,2.9
100548,East Midlands,45-54,Current,5.8
100549,South East,55-64,Current,15.5
100550,London,45-54,Current,18.2
100551,London,45-54,Current,1.0
100552,West Midlands,45-54,Savings,1.6
100553,West Midlands,55-64,Savings,18.7
100554,East of England,55-64,Premier,3.0
100555,East Midlands,55-64,Student,19.6
100556,North West,25-34,Current,16.6
100557,North West,45-54,Current,2.5
100558,London,55-64,Current,2.1
100559,London,35-44,Current,19.5
100560,London,65+,Current,5.2
100561,East Midlands,35-44,Savings,10.8
100562,North West,25-34,Current,4.8
100563,South West,65+,Current,12.1
100564,London,25-34,Current,16.8
100565,London,35-44,Premier,13.2
100566,South East,35-44,Savings,1.0
100567,South East,65+,Current,11.9
100568,East Midlands,35-44,Current,13.3
100569,Yorkshire and Humber,55-64,Premier,4.1
100570,London,55-64,Current,15.3
100571,Yorkshire and Humber,45-54,Savings,12.6
100572,South West,65+,Savings,0.3
100573,London,55-64,Savings,19.0
100574,South East,35-44,Current,9.0
100575,East of England,65+,Premier,4.7
100576,London,45-54,Current,1.8
100577,East of England,18-24,Current,7.6
100578,London,25-34,Current,6.2
100579,East of England,45-54,Current,6.0
100580,Yorkshire and Humber,25-34,Current,15.9
100581,London,45-54,Savings,13.0
100582,London,35-44,Student,2.7
100583,West Midlands,45-54,Current,14.2
100584,Yorkshire and Humber,18-24,Savings,14.5
100585,East of England,55-64,Premier,10.3
100586,London,35-44,Current,19.9
100587,West Midlands,25-34,Savings,5.7
100588,Yorkshire and Humber,35-44,Premier,1.3
100589,West Midlands,35-44,Savings,0.7
100590,East Midlands,45-54,Current,6.5
100591,East of England,45-54,Student,10.0
100592,London,18-24,Savings,1.7
100593,North West,65+,Current,11.4
100594,London,35-44,Current,18.0
100595,East Midlands,25-34,Current,16.0
100596,North West,55-64,Current,13.5
100597,South East,45-54,Current,13.3
100598,London,45-54,Current,14.6
100599,Wales,35-44,Student,9.9
100600,London,35-44,Savings,8.1
100601,London,45-54,Current,6.2
100602,South East,18-24,Current,2.1
100603,East of England,35-44,Current,11.3
100604,South East,65+,Current,9.5
100605,North East,45-54,Savings,2.5
100606,South West,35-44,Current,5.4
100607,East of England,25-34,Premier,15.8
100608,West Midlands,55-64,Current,5.2
100609,South East,25-34,Current,8.6
100610,London,25-34,Student,3.3
100611,London,25-34,Current,3.5
100612,South East,55-64,Current,15.2
100613,North East,45-54,Current,1.4
100614,Wales,18-24,Savings,5.8
100615,North West,25-34,Current,19.6
100616,South East,45-54,Savings,9.6
100617,South East,45-54,Savings,12.2
100618,Yorkshire and Humber,45-54,Student,12.9
100619,West Midlands,25-34,Savings,4.0
100620,East Midlands,55-64,Savings,7.4
100621,South East,65+,Savings,8.1
100622,London,45-54,Current,4.7
100623,Wales,25-34,Savings,4.8
100624,London,45-54,Savings,12.2
100625,Wales,35-44,Current,2.3
100626,Yorkshire and Humber,18-24,Savings,2.7
100627,South West,35-44,Current,11.5
100628,East Midlands,65+,Current,9.0
100629,London,35-44,Current,12.3
100630,South West,65+,Current,0.6
100631,East of England,45-54,Current,14.1
100632,South West,45-54,Current,17.0
100633,East Midlands,18-24,Current,10.5
100634,Yorkshire and Humber,45-54,Current,16.8
100635,East Midlands,25-34,Current,8.1
100636,West Midlands,35-44,Current,1.7
100637,South East,25-34,Premier,7.6
100638,South East,35-44,Savings,9.0
100639,South East,45-54,Current,17.3
100640,East of England,18-24,Current,6.8
100641,South East,35-44,Current,6.4
100642,South West,65+,Current,17.8
100643,East Midlands,18-24,Current,5.1
100644,North West,35-44,Savings,12.9
100645,London,35-44,Savings,6.6
100646,East of England,35-44,Current,19.0
100647,East Midlands,45-54,Savings,3.9
100648,London,25-34,Current,14.5
100649,South East,35-44,Savings,11.0
100650,East Midlands,45-54,Premier,19.6
100651,Yorkshire and Humber,35-44,Current,19.9
100652,East of England,65+,Savings,15.9
100653,South East,65+,Savings,2.2
100654,North West,25-34,Current,9.4
100655,East of England,35-44,Current,17.1
100656,Yorkshire and Humber,25-34,Savings,12.8
100657,East of England,25-34,Current,17.6
100658,North West,45-54,Current,16.0
100659,London,45-54,Savings,6.3
100660,Yorkshire and Humber,35-44,Current,4.0
100661,North West,35-44,Current,6.5
100662,East of England,35-44,Premier,13.9
100663,West Midlands,65+,Current,9.7
100664,East Midlands,65+,Current,1.0
100665,Yorkshire and Humber,25-34,Savings,14.9
100666,South East,45-54,Current,1.0
100667,South West,35-44,Savings,8.2
100668,Wales,45-54,Savings,9.3
100669,North West,45-54,Current,10.1
100670,Yorkshire and Humber,65+,Current,2.9
100671,West Midlands,18-24,Premier,15.0
100672,London,35-44,Premier,17.0
100673,Wales,65+,Current,14.0
100674,South East,25-34,Current,19.0
100675,London,25-34,Current,5.2
100676,Yorkshire and Humber,55-64,Premier,3.3
100677,East of England,55-64,Savings,1.4
100678,London,45-54,Current,14.5
100679,West Midlands,55-64,Student,3.3
100680,Yorkshire and Humber,55-64,Current,18.8
100681,East Midlands,25-34,Current,12.0
100682,West Midlands,45-54,Current,16.1
100683,East Midlands,55-64,Current,8.8
100684,London,65+,Savings,14.7
100685,London,25-34,Current,8.9
100686,Yorkshire and Humber,25-34,Savings,10.8
100687,Yorkshire and Humber,55-64,Premier,15.5
100688,North East,25-34,Current,4.8
100689,South East,18-24,Current,17.7
100690,London,55-64,Savings,14.4
100691,North West,45-54,Current,15.0
100692,East of England,35-44,Savings,4.8
100693,North West,18-24,Current,1.9
100694,North West,18-24,Current,1.5
100695,East of England,55-64,Student,13.0
100696,London,35-44,Current,3.1
100697,South East,25-34,Current,20.0
100698,London,35-44,Current,19.2
100699,South East,25-34,Savings,0.7
100700,North West,25-34,Premier,14.5
100701,North West,35-44,Current,5.3
100702,North West,45-54,Current,6.9
100703,West Midlands,25-34,Current,4.9
100704,East of England,35-44,Savings,16.6
100705,North West,35-44,Current,17.9
100706,London,35-44,Current,0.9
100707,South West,25-34,Current,5.5
100708,South West,18-24,Current,9.0
100709,London,18-24,Savings,10.5
100710,London,35-44,Current,1.8
100711,Wales,55-64,Current,16.6
100712,South East,25-34,Current,18.7
100713,South West,55-64,Current,8.1
100714,East of England,55-64,Current,17.2
100715,South West,18-24,Current,13.6
100716,West Midlands,18-24,Current,11.9
100717,London,25-34,Current,16.4
100718,West Midlands,18-24,Current,9.5
100719,South East,45-54,Savings,11.0
100720,North East,18-24,Current,5.6
100721,London,55-64,Current,14.3
100722,London,45-54,Savings,3.3
100723,East Midlands,55-64,Current,4.9
100724,North East,55-64,Current,9.7
100725,West Midlands,45-54,Savings,7.8
100726,East Midlands,65+,Current,4.9
100727,North West,65+,Premier,3.9
100728,East Midlands,35-44,Current,17.2
100729,London,25-34,Student,11.9
100730,London,35-44,Savings,7.6
100731,North West,25-34,Current,16.9
100732,East Midlands,45-54,Current,16.5
100733,West Midlands,35-44,Savings,2.3
100734,Yorkshire and Humber,35-44,Current,11.4
100735,East Midlands,55-64,Current,6.2
100736,South East,35-44,Premier,10.9
100737,West Midlands,45-54,Savings,14.4
100738,North West,35-44,Premier,0.3
100739,Yorkshire and Humber,55-64,Student,10.3
100740,Yorkshire and Humber,45-54,Savings,5.9
100741,East Midlands,18-24,Savings,10.7
100742,West Midlands,45-54,Savings,2.3
100743,East of England,25-34,Student,16.4
100744,East Midlands,55-64,Current,10.9
100745,London,45-54,Current,4.3
100746,London,35-44,Current,15.4
100747,Yorkshire and Humber,55-64,Current,0.9
100748,London,55-64,Premier,11.9
100749,South West,55-64,Savings,10.1
100750,South West,45-54,Current,0.9
100751,North West,55-64,Current,5.1
100752,North West,35-44,Current,1.6
100753,North West,55-64,Current,14.7
100754,London,55-64,Savings,14.1
100755,South East,25-34,Current,1.9
100756,North West,25-34,Current,2.3
